date,100topics_Trace_Normalized,LLM_Trace_Normalized,Entities_Entropy_Normalized,NEAT_Trace_Normalized
1/1/1996,0.010621187,0.001777213,0.032167044,0.00091575
1/2/1996,0.018966542,0.003131768,0.046991311,0.001774405
1/3/1996,0.014838283,0.002433991,0.03828256,0.000980295
1/4/1996,0.01538109,0.002418857,0.03985751,0.001052153
1/5/1996,0.015280809,0.002364943,0.040628671,0.001098525
1/6/1996,0.009447481,0.001740023,0.028430057,0.000782447
1/7/1996,0.010457554,0.001545243,0.030160744,0.000780873
1/8/1996,0.007702567,0.001277749,0.024129773,0.00066487
1/9/1996,0.005417354,0.000976633,0.019620799,0.000485529
1/10/1996,0.013190371,0.002079512,0.036959602,0.000971999
1/11/1996,0.013667219,0.002139466,0.036416908,0.001021224
1/12/1996,0.011734258,0.00193899,0.034517675,0.000950006
1/13/1996,0.008798711,0.001482627,0.026879817,0.00077012
1/14/1996,0.009277829,0.0015393,0.029324319,0.000725967
1/15/1996,0.018227434,0.002631818,0.045291899,0.001347283
1/16/1996,0.017725191,0.002699703,0.044790869,0.00126591
1/17/1996,0.012774906,0.002074863,0.03720419,0.000882299
1/18/1996,0.009561685,0.001754626,0.031733086,0.000684329
1/19/1996,0.013181304,0.002091653,0.036718793,0.000973912
1/20/1996,0.007148745,0.001438872,0.020206184,0.000781765
1/21/1996,0.009724496,0.001639423,0.030699205,0.000787809
1/22/1996,0.01828064,0.002610321,0.045543667,0.001069968
1/23/1996,0.015962879,0.0023085,0.039038643,0.001419464
1/24/1996,0.011712149,0.001890999,0.037661129,0.000810695
1/25/1996,0.013251256,0.002056743,0.039035457,0.000949666
1/26/1996,0.013706024,0.002226135,0.037466914,0.001014742
1/27/1996,0.006947935,0.001436089,0.021149185,0.000753082
1/28/1996,0.010152727,0.001573885,0.030961627,0.000814723
1/29/1996,0.016003726,0.002411732,0.043717895,0.001017917
1/30/1996,0.014627309,0.002061459,0.03731303,0.0011525
1/31/1996,0.013788133,0.002081466,0.03800328,0.000877654
2/1/1996,0.013033069,0.001928326,0.033453991,0.000977497
2/2/1996,0.013317883,0.002084802,0.036827711,0.001032181
2/3/1996,0.006839296,0.001315576,0.020424254,0.000711227
2/4/1996,0.00945526,0.001458134,0.027352007,0.000759643
2/5/1996,0.015840029,0.002592008,0.04276457,0.001170989
2/6/1996,0.01517495,0.002214501,0.040589127,0.001102066
2/7/1996,0.011099702,0.001902659,0.032079787,0.000689162
2/8/1996,0.013957313,0.002322711,0.03667591,0.001068541
2/9/1996,0.01163135,0.002030526,0.033640177,0.000915913
2/10/1996,0.008911418,0.001628706,0.026730994,0.000889011
2/11/1996,0.008919818,0.001508376,0.027671786,0.000766941
2/12/1996,0.01510313,0.002339929,0.041787617,0.001198671
2/13/1996,0.012887886,0.001964529,0.033953035,0.001217912
2/14/1996,0.013238842,0.002176834,0.035865004,0.001025689
2/15/1996,0.014799219,0.002231042,0.039486818,0.00122299
2/16/1996,0.012450202,0.00190939,0.035460021,0.000908327
2/17/1996,0.008582756,0.001523547,0.024695604,0.00083699
2/18/1996,0.008874651,0.001489207,0.027999016,0.00078373
2/19/1996,0.014961376,0.002239812,0.039939074,0.000984578
2/20/1996,0.017402761,0.002660237,0.042652586,0.001276984
2/21/1996,0.015101093,0.002349417,0.038723698,0.001094984
2/22/1996,0.013890106,0.002214596,0.041712658,0.001084072
2/23/1996,0.01187664,0.002042056,0.035658114,0.000974871
2/24/1996,0.007737824,0.001430193,0.024916114,0.000781021
2/25/1996,0.008687443,0.001460032,0.026247745,0.000778809
2/26/1996,0.016529246,0.002805836,0.044343337,0.001355893
2/27/1996,0.013017224,0.002064964,0.038337591,0.001108392
2/28/1996,0.012400541,0.002076677,0.036203307,0.0010275
2/29/1996,0.012897055,0.002178949,0.037837111,0.001099821
3/1/1996,0.014466852,0.002143035,0.039775517,0.000892017
3/2/1996,0.006625338,0.001340355,0.020696749,0.000731648
3/3/1996,0.008930697,0.001475784,0.027079518,0.000828377
3/4/1996,0.017584947,0.002589377,0.044756385,0.001057275
3/5/1996,0.013263178,0.002001347,0.03418391,0.001094325
3/6/1996,0.01179262,0.001904438,0.033444631,0.000987166
3/7/1996,0.01419127,0.002215436,0.039081303,0.001109818
3/8/1996,0.01255381,0.001943327,0.033872277,0.000734276
3/9/1996,0.008493148,0.001527439,0.024604381,0.000784387
3/10/1996,0.00829481,0.001487071,0.027036868,0.000816725
3/11/1996,0.019442765,0.002893216,0.049436812,0.001209706
3/12/1996,0.012980023,0.001987649,0.035257566,0.001002181
3/13/1996,0.01433994,0.002109634,0.038437289,0.000906982
3/14/1996,0.013186143,0.002197366,0.038310347,0.000911836
